epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
89,1262.38,0.49186,0.47068,1.08547,0.00737,0,0,0,0,0,0,0,0,0.000698806,0.000698806,0.000698806
90,1276.39,0.49092,0.4654,1.09616,0.00631,0,0,0,0,0,0,0,0,0.000687804,0.000687804,0.000687804
91,1290.49,0.51469,0.4669,1.09333,0.00753,0,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
92,1304.55,0.50944,0.46851,1.11483,0.00832,0,0,0,0,0,0,0,0,0.0006658,0.0006658,0.0006658
93,1318.55,0.50517,0.44138,1.08905,0.00674,0,0,0,0,0,0,0,0,0.000654798,0.000654798,0.000654798
94,1332.55,0.51213,0.45675,1.10455,0.00676,0,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
95,1346.55,0.4993,0.44449,1.0767,0.00707,0,0,0,0,0,0,0,0,0.000632793,0.000632793,0.000632793
96,1360.57,0.48381,0.44894,1.07833,0.00634,0,0,0,0,0,0,0,0,0.000621791,0.000621791,0.000621791
97,1374.56,0.47574,0.42876,1.09233,0.00523,0,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
98,1388.56,0.49153,0.4468,1.10787,0.0075,0,0,0,0,0,0,0,0,0.000599787,0.000599787,0.000599787
99,1402.61,0.48517,0.45124,1.10528,0.00641,0,0,0,0,0,0,0,0,0.000588784,0.000588784,0.000588784
100,1416.63,0.46882,0.43328,1.084,0.00495,0,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
101,1430.65,0.47787,0.44564,1.08286,0.00671,0,0,0,0,0,0,0,0,0.00056678,0.00056678,0.00056678
102,1444.66,0.46456,0.43689,1.07949,0.0054,0,0,0,0,0,0,0,0,0.000555778,0.000555778,0.000555778
103,1458.66,0.46945,0.43838,1.07376,0.00549,0,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
104,1472.71,0.48469,0.43608,1.10438,0.0062,0,0,0,0,0,0,0,0,0.000533773,0.000533773,0.000533773
105,1486.73,0.48572,0.44138,1.08873,0.00618,0,0,0,0,0,0,0,0,0.000522771,0.000522771,0.000522771
106,1500.75,0.46996,0.42721,1.06615,0.00616,0,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
107,1514.8,0.46192,0.43332,1.0844,0.00696,0,0,0,0,0,0,0,0,0.000500767,0.000500767,0.000500767
108,1528.82,0.46903,0.43408,1.08238,0.00662,0,0,0,0,0,0,0,0,0.000489765,0.000489765,0.000489765
109,1542.81,0.4808,0.43144,1.0817,0.00548,0,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
110,1556.83,0.4605,0.42583,1.07966,0.00691,0,0,0,0,0,0,0,0,0.00046776,0.00046776,0.00046776
111,1570.84,0.46093,0.43081,1.08221,0.00616,0,0,0,0,0,0,0,0,0.000456758,0.000456758,0.000456758
112,1584.85,0.45875,0.4201,1.06001,0.0052,0,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
113,1598.83,0.45397,0.4149,1.07311,0.00529,0,0,0,0,0,0,0,0,0.000434754,0.000434754,0.000434754
114,1612.86,0.46408,0.42833,1.04694,0.00643,0,0,0,0,0,0,0,0,0.000423751,0.000423751,0.000423751
115,1626.89,0.47153,0.4389,1.11209,0.00652,0,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
116,1640.89,0.46081,0.44481,1.08745,0.00544,0,0,0,0,0,0,0,0,0.000401747,0.000401747,0.000401747
117,1654.89,0.43586,0.40911,1.08218,0.00448,0,0,0,0,0,0,0,0,0.000390745,0.000390745,0.000390745
118,1668.91,0.46816,0.4326,1.07213,0.00559,0,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
119,1682.91,0.45061,0.4285,1.05551,0.00615,0,0,0,0,0,0,0,0,0.00036874,0.00036874,0.00036874
120,1696.92,0.4701,0.42909,1.08774,0.00444,0,0,0,0,0,0,0,0,0.000357738,0.000357738,0.000357738
121,1710.91,0.45551,0.42428,1.07951,0.00641,0,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
122,1724.93,0.4537,0.41786,1.08932,0.00545,0,0,0,0,0,0,0,0,0.000335734,0.000335734,0.000335734
123,1738.94,0.43977,0.39994,1.05488,0.00533,0,0,0,0,0,0,0,0,0.000324732,0.000324732,0.000324732
124,1752.95,0.44861,0.40603,1.06268,0.00589,0,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
125,1766.93,0.42527,0.41741,1.05375,0.00582,0,0,0,0,0,0,0,0,0.000302727,0.000302727,0.000302727
126,1780.94,0.43861,0.42809,1.07222,0.00562,0,0,0,0,0,0,0,0,0.000291725,0.000291725,0.000291725
127,1794.91,0.44202,0.42358,1.0797,0.00418,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
128,1808.91,0.42455,0.38857,1.05449,0.0042,0,0,0,0,0,0,0,0,0.000269721,0.000269721,0.000269721
129,1822.91,0.41995,0.39985,1.05184,0.00595,0,0,0,0,0,0,0,0,0.000258718,0.000258718,0.000258718
130,1836.91,0.45064,0.41386,1.05266,0.00599,0,0,0,0,0,0,0,0,0.000247716,0.000247716,0.000247716
131,1850.92,0.44778,0.42162,1.07012,0.006,0,0,0,0,0,0,0,0,0.000236714,0.000236714,0.000236714
132,1864.93,0.44163,0.41358,1.06052,0.0061,0,0,0,0,0,0,0,0,0.000225712,0.000225712,0.000225712
133,1878.94,0.44795,0.40372,1.07476,0.00564,0,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
134,1892.95,0.41949,0.39662,1.034,0.0065,0,0,0,0,0,0,0,0,0.000203707,0.000203707,0.000203707
135,1906.97,0.42713,0.39602,1.05028,0.00537,0,0,0,0,0,0,0,0,0.000192705,0.000192705,0.000192705
136,1920.96,0.43534,0.40863,1.04338,0.00513,0,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
137,1934.96,0.42419,0.40001,1.05279,0.00461,0,0,0,0,0,0,0,0,0.000170701,0.000170701,0.000170701
138,1949.03,0.42394,0.39665,1.05165,0.00556,0,0,0,0,0,0,0,0,0.000159699,0.000159699,0.000159699
139,1963.02,0.4352,0.40776,1.06893,0.0042,0,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
140,1977.02,0.43725,0.40133,1.05269,0.00522,0,0,0,0,0,0,0,0,0.000137694,0.000137694,0.000137694
141,2009.25,0.32806,0.29541,1.01883,0.00195,0,0,0,0,0,0,0,0,0.000126692,0.000126692,0.000126692
142,2023.24,0.32529,0.28541,1.03069,0.0037,0,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
143,2037.22,0.32092,0.28476,1.03303,0.00173,0,0,0,0,0,0,0,0,0.000104688,0.000104688,0.000104688
144,2051.22,0.31939,0.28362,1.02901,0.00283,0,0,0,0,0,0,0,0,9.36854e-05,9.36854e-05,9.36854e-05
145,2065.2,0.31892,0.28313,1.02342,0.00306,0,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
146,2079.17,0.30607,0.27855,1.01456,0.00158,0,0,0,0,0,0,0,0,7.1681e-05,7.1681e-05,7.1681e-05
147,2093.14,0.31162,0.27959,1.02476,0.00259,0,0,0,0,0,0,0,0,6.06788e-05,6.06788e-05,6.06788e-05
148,2107.12,0.31695,0.27862,1.02445,0.00203,0,0,0,0,0,0,0,0,4.96766e-05,4.96766e-05,4.96766e-05
149,2121.08,0.31707,0.28101,1.03487,0.00324,0,0,0,0,0,0,0,0,3.86744e-05,3.86744e-05,3.86744e-05
150,2138.17,0.3135,0.27932,1.04788,0.00178,0.95812,0.44127,0.46205,0.43949,0.3591,0.37299,1.12224,0.01022,2.76722e-05,2.76722e-05,2.76722e-05
