epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1002.11,0.50868,0.43465,0.9142,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
74,1015.83,0.49272,0.43616,0.90489,0,0,0,0,0,0,0,0.000462259,0.000462259,0.000462259
75,1029.51,0.47705,0.4196,0.90026,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
76,1043.25,0.5003,0.43651,0.90655,0,0,0,0,0,0,0,0.000429253,0.000429253,0.000429253
77,1056.96,0.50533,0.42804,0.90403,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
78,1070.69,0.47149,0.41523,0.90343,0,0,0,0,0,0,0,0.000396246,0.000396246,0.000396246
79,1084.38,0.49041,0.42971,0.9075,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
80,1098.1,0.47719,0.41458,0.89993,0,0,0,0,0,0,0,0.000363239,0.000363239,0.000363239
81,1111.82,0.48344,0.41853,0.9095,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
82,1125.53,0.4749,0.41265,0.90577,0,0,0,0,0,0,0,0.000330233,0.000330233,0.000330233
83,1139.25,0.46858,0.41713,0.90684,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
84,1152.95,0.47084,0.40953,0.89649,0,0,0,0,0,0,0,0.000297226,0.000297226,0.000297226
85,1166.67,0.46547,0.41163,0.90233,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
86,1180.37,0.46506,0.41102,0.90039,0,0,0,0,0,0,0,0.00026422,0.00026422,0.00026422
87,1194.06,0.45385,0.38699,0.89221,0,0,0,0,0,0,0,0.000247716,0.000247716,0.000247716
88,1207.78,0.47731,0.42343,0.89593,0,0,0,0,0,0,0,0.000231213,0.000231213,0.000231213
89,1221.47,0.45804,0.40211,0.90128,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
90,1235.18,0.44319,0.40259,0.89417,0,0,0,0,0,0,0,0.000198206,0.000198206,0.000198206
91,1249.71,0.38134,0.33985,0.8543,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
92,1263.47,0.36972,0.32112,0.84498,0,0,0,0,0,0,0,0.0001652,0.0001652,0.0001652
93,1277.16,0.36178,0.32351,0.83654,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
94,1290.9,0.36727,0.32173,0.84012,0,0,0,0,0,0,0,0.000132193,0.000132193,0.000132193
95,1304.58,0.35423,0.3123,0.84363,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
96,1318.28,0.34808,0.31374,0.83956,0,0,0,0,0,0,0,9.91865e-05,9.91865e-05,9.91865e-05
97,1331.98,0.3476,0.31201,0.83933,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
98,1345.68,0.34183,0.3086,0.84138,0,0,0,0,0,0,0,6.61799e-05,6.61799e-05,6.61799e-05
99,1359.39,0.34668,0.3103,0.84454,0,0,0,0,0,0,0,4.96766e-05,4.96766e-05,4.96766e-05
100,1377.36,0.33969,0.29997,0.83349,0.96172,0.48193,0.51314,0.47016,0.40148,0.36928,0.86166,3.31733e-05,3.31733e-05,3.31733e-05
